Team,
Martinsburg,Cobourn Field at Dave Walker Stadium
Huntington,Bob Sang Stadium
Bridgeport,Wayne Jamison Field
Morgantown,Pony Lewis Field
University,Mylan Pharmaceuticals Complex
Cabell Midland,Knights Stadium
Fairmont Senior,East-West Stadium
Jefferson,Jefferson Memorial Stadium
George Washington ,Steve Edwards Sr. Field
Wheeling Park,Wheeling Island Stadium
Princeton,Hunnicutt Stadium
Herbert Hoover,Husky Stadium
Frankfort,Frankfort Stadium
Bluefield,Mitchell Stadium 
Independence,George Covey Field 
Spring Mills,Cardinal Field
Musselman,Waldeck Field
Hurricane,Redskins Stadium
Spring Valley,The Wolves Den
North Marion,Roy Michael Field
Parkersburg,Stadium Field
Wheeling Central,Bishop Schmitt Field 
Parkersburg South,Erickson Complex
Williamstown,Yellowjacket Field
Wahama,Bachtel Stadium
Winfield,Generals Stadium
Roane County,County Stadium
Doddridge Co,Cline Stansberry Stadium
Beckley,Van Meter Field
Oak Hill,John P. Duda Stadium
Capital,Laidley Field
Greenbrier East,Spartan Stadium
South Charleston,Eagle Stadium
Nitro,Underwood Field
Weir,Jimmy Carey Stadium
Philip Barbour,George Byrer Field
James Monroe,Comer Sports Complex
Mingo Central,Buck Harless Stadium
Scott,Scott Field 
East Hardy,Cougar Stadium
Pendleton Co,Slusher Field
Cameron,Dragon Field 
St. Marys,Imlay Field
Brooke,Brooke Memorial Stadium
Hampshire,Rannells Field
East Fairmont,East-West Stadium
Nicholas County,Memorial Stadium
Point Pleasant,Sanders Memorial Stadium
Keyser,Stayman Field
Chapmanville,Barker Stadium
Wayne,Pioneer Field
Tucker Co,RH Armstrong Memorial Field
Clay Battelle,Clay Battelle Stadium
Man,George Queen Memorial Field
Sherman,Zontini Field
Washington,Terry Marcus Stadium
Hedgesville,Mumaw Stadium
Buckhannon-Upshur,Red Crites Memorial Stadium
Riverside,Warrior Stadium
Preston,Knights Stadium
Shady Spring,Thomas Field 
Ripley,Memorial Stadium
Elkins,Wilmer Field
Robert C. Byrd,Robert C Byrd Stadium
Petersburg,Viking Memorial Stadium
Midland Trail,Patriot Stadium 
Sissonville,Joe Sawyers Field 
Lincoln,Stydahar Field
Clay County,Bradley Field 
Westside,The Burial Ground 
Poca,OO White Field 
Logan,Logan Stadium 
Greenbrier West,Cavalier Field 
Tug Valley,Bob Brewer Stadium
John Marshall,Monarch Stadium
St. Albans,Crawford Field 
Lincoln County,Lincoln County Stadium
Lewis County,Lewis County Athletic Field 
Grafton,McKinney Field 
Moorefield,Yellowjacket Field
Oak Glen,Memorial Field 
Pikeview,Ben Disibbio Field 
Wyoming East,The War Zone
River View,Mitchell Estep Field
South Harrison,Gary Barnette Field 
Webster Co,Highlander Field 
Magnolia,Alumni Field
Wirt Co,Wilson-Eismon Field
Valley,Thomas West Field 
Meadow Bridge,Frank Arritt Stadium
Van,Herschel Jerrell Field
Ritchie County,Chuck Schofield Memorial Stadium
Montcalm,Prudich Stadium
Calhoun Co,Underwood Field
Gilmer Co,IL Morris Stadium
Berkeley Springs,Morgan Field 
Braxton County,Braxton County Stadium
Ravenswood,Flinn Field
Buffalo,Bison Field
Tyler Consolidated,Tyler Field
Richwood,Dean Memorial Field
Pocahontas Co,Memorial Field 
Tygarts Valley,Bulldog Field
Madonna,Jimmy Carey Stadium
Summers County,Garten Stadium
Liberty,Liberty HS Stadium
Mount View,Vic Nystrom Stadium
Tolsia,Wilts Salmons Athletic Field
